Property Title,BHK,Price,area,Location
"2 BHK Flat  for Sale in Pragathi Nagar, Kukatpally, Hyderabad",2,8080000.0,6999,Hyderabad
3 BHK Villa for Sale in Rampally Hyderabad,3,10100000.0,6300,Hyderabad
"2 BHK Flat  for Sale in Narsingi, Outer Ring Road, Hyderabad",2,12900000.0,9449,Hyderabad
"2 BHK Flat  for Sale in Pocharam, NH 2 2, Hyderabad",2,6680000.0,4899,Hyderabad
"3 BHK Villa for Sale in Tukkuguda, Srisailam Highway Hyderabad",3,14600000.0,5407,Hyderabad
"2 BHK Flat  for Sale in Miyapur, NH 9, Hyderabad",2,6470000.0,5699,Hyderabad
"2 BHK Flat  for Sale in Pocharam, NH 2 2, Hyderabad",2,6050000.0,4999,Hyderabad
"3 BHK Flat  for Sale in Shamshabad, Hyderabad",3,11000000.0,6974,Hyderabad
"2 BHK Flat  for Sale in Moosapet, NH 9, Hyderabad",2,10200000.0,8199,Hyderabad
"3 BHK Villa for Sale in Isnapur, Outer Ring Road Hyderabad",3,9370000.0,5856,Hyderabad
"3 BHK Flat  for Sale in Puppalguda, Hyderabad",3,14000000.0,8199,Hyderabad
"2 BHK Flat  for Sale in Hyder Nagar, NH 9, Hyderabad",2,8890000.0,6999,Hyderabad
"2 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",2,6970000.0,6899,Hyderabad
"2 BHK Flat  for Sale in Kompally, Hyderabad",2,7109999.999999999,5950,Hyderabad
"3 BHK Flat  for Sale in Nagole, Hyderabad",3,8220000.0,6300,Hyderabad
"2 BHK Flat  for Sale in Kollur, Outer Ring Road, Hyderabad",2,7620000.0,5500,Hyderabad
"2 BHK Flat  for Sale in Manchirevula, Outer Ring Road, Hyderabad",2,8610000.0,7119,Hyderabad
"3 BHK Flat  for Sale in Kompally, Hyderabad",3,10300000.0,NaN,Hyderabad
"3 BHK Flat  for Sale in Narsingi, Outer Ring Road, Hyderabad",3,18100000.0,8599,Hyderabad
"2 BHK Flat  for Sale in Kismatpur, Outer Ring Road, Hyderabad",2,6909999.999999999,6000,Hyderabad
"2 BHK Flat  for Sale in Pragathi Nagar, Kukatpally, Hyderabad",2,7990000.000000001,6270,Hyderabad
"2 BHK Flat  for Sale in Bahadurpally, Hyderabad",2,6250000.0,5099,Hyderabad
3 BHK Villa for Sale in Beeramguda Ramachandrapuram Hyderabad,3,18500000.0,10325,Hyderabad
"3 BHK Flat  for Sale in Miyapur, NH 9, Hyderabad",3,11399999.999999998,7200,Hyderabad
"2 BHK Flat  for Sale in Nagole, Hyderabad",2,9080000.0,5799,Hyderabad
"3 BHK Flat  for Sale in Narsingi, Outer Ring Road, Hyderabad",3,24600000.0,7299,Hyderabad
"2 BHK Flat  for Sale in Bachupally, Hyderabad",2,7420000.0,5749,Hyderabad
"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,12700000.0,7299,Hyderabad
"3 BHK Flat  for Sale in Yapral, Hyderabad",3,13100000.0,6300,Hyderabad
"3 BHK Flat  for Sale in LB Nagar, NH 9, Hyderabad",3,10600000.0,6200,Hyderabad
